City,tempmax,sealevelpressure
Ahmedabad,40,999.6
Ahmedabad,40,999.6
Ahmedabad,39,999.8
Ahmedabad,40,998.8
Ahmedabad,40,996.6
Ahmedabad,39,997.5
Ahmedabad,34,999.6
Ahmedabad,33,1000.1
Ahmedabad,31,1001.5
Ahmedabad,30.2,1002.9
Ahmedabad,31,1004.3
Ahmedabad,33,1004.4
Ahmedabad,34.7,1003.9
Ahmedabad,33,1003.6
Ahmedabad,35.1,1002.5
Ahmedabad,36,1003.1
Ahmedabad,37,1005.3
Ahmedabad,35,1004.8
Ahmedabad,36.2,1003.8
Ahmedabad,36,1003
Surat,32.7,1006.3
Surat,31.9,1006.9
Surat,33.1,1008.1
Surat,32.4,1010.2
Surat,34.2,1009.9
Surat,37.4,1009.1
Surat,37,1009.6
Surat,36.1,1007.9
Surat,33.4,1007.8
Surat,34.4,1008.8
Surat,36.1,1009.9
Surat,37.3,1011.2
Surat,37.7,1010.4
Surat,37.9,1009.9
Surat,36.1,1009.6
Surat,35.2,1009.6
Surat,37.2,1010.3
Surat,38.3,1010.6
Surat,36.4,1008.7
Surat,33.9,1008.2
Surat,34.2,1010
Surat,36.2,1010
Surat,34.2,1009.8
Surat,34.1,1009.3
Surat,39.9,1008.6
Surat,40.4,1007.4
Surat,35.4,1008.3
Surat,35.1,1009.7
Surat,36.9,1008.9
Surat,36.2,1007.6
Surat,36.4,1007.6
Surat,37.3,1007.5
Surat,36.1,1007.4
Surat,38.7,1007
Surat,39.1,1006.9
Surat,39.1,1007.1
Surat,37.2,1008.2
Surat,35.7,1006.9
Surat,36.2,1005.8
Surat,34.7,1006.1
Surat,34.2,1006.8
Surat,33.1,1004.9
Surat,33.9,1004.6
Surat,35.4,1003
Surat,34.9,1001.3
Surat,38.1,999.9
Surat,33.2,997.9
Surat,28.1,998.4
Surat,30.3,1003.5
Surat,36.2,1005.8
Surat,32.7,1006.7
Surat,33.2,1006.3
Surat,34.7,1007.3
Surat,35.1,1008.3
Surat,33.7,1006
Surat,32.7,1004.8
Surat,33.7,1004.7
Surat,33.4,1005.4
Surat,33.4,1006.5
Surat,33.7,1006.7
Surat,33.2,1004.6
Surat,33.4,1004.8
Surat,34,1005.8
Surat,34.4,1006.8
Surat,35.1,1007.1
Surat,33.2,1006.3
Surat,32.9,1006.5
Surat,31.7,1006.7
Surat,32.7,1005.4
Surat,33.7,1003.7
Surat,30.1,1002.9
Surat,33.1,1002.3
Surat,33.1,1002.3
Surat,33.7,1002.3
Surat,34.1,1001
Surat,34.1,999.3
Surat,33.7,999.7
Surat,31.1,1000.7
Surat,26.1,1002
Surat,31.7,1003.2
Surat,32.4,1004.7
Surat,32.2,1005.8
Surat,32.9,1006.1
Surat,32.7,1005.6
Surat,30.6,1005.8
Surat,31.4,1004.4
Surat,32.9,1005.2
Surat,32.9,1006.9
Surat,31.1,1006.2
Surat,33.2,1005.7
Surat,31.3,1005.3
Jaipur,35,1004.9
Jaipur,35,1006.9
Jaipur,35,1008.9
Jaipur,37.1,1009.6
Jaipur,40,1008
Jaipur,40,1006.7
Jaipur,37,1009.2
Jaipur,36,1008.6
Jaipur,36,1009.4
Jaipur,37,1011.1
Jaipur,39,1011.5
Jaipur,38.8,1011.5
Jaipur,40,1010.3
Jaipur,39,1009.3
Jaipur,39,1008.4
Jaipur,37,1007.1
Jaipur,34,1009.7
Jaipur,37,1011.2
Jaipur,40,1007.1
Jaipur,37.8,1005.1
Jaipur,34,1008.9
Jaipur,35,1009.8
Jaipur,38,1007.6
Jaipur,34.3,1010.2
Jaipur,36,1010.5
Jaipur,41,1008.4
Jaipur,40.1,1007.8
Jaipur,40.4,1008.4
Jaipur,40.2,1007.8
Jaipur,39.4,1007.4
Jaipur,38.8,1007.4
Jaipur,35.1,1008.2
Jaipur,36.1,1007
Jaipur,37,1005.4
Jaipur,39,1005.4
Jaipur,39.2,1006.2
Jaipur,36.9,1008.3
Jaipur,38,1007.4
Jaipur,39,1005.2
Jaipur,38,1004.3
Jaipur,35,1004.2
Jaipur,36.5,1001.9
Jaipur,36,1002.3
Jaipur,37,1002.7
Jaipur,38,1004
Jaipur,37.5,1005.2
Jaipur,33.1,1006.9
Jaipur,26.2,1006.9
Jaipur,23,1001.3
Jaipur,31.2,1003.1
Jaipur,32,1004.6
Jaipur,36,1005.1
Jaipur,34.4,1006.5
Jaipur,37,1006.6
Jaipur,39,1003
Jaipur,40,1000.8
Jaipur,40.1,1000.6
Jaipur,41,1001.7
Jaipur,42,1003.3
Jaipur,41,1003.1
Jaipur,40,1000.6
Jaipur,37,1003
Jaipur,30,1005.3
Jaipur,36,1005.7
Jaipur,36,1005.3
Jaipur,38,1004.4
Jaipur,37,1004.2
Jaipur,39,1002.8
Jaipur,40,1001
Jaipur,40,999.4
Jaipur,40.3,998
Jaipur,40.3,998.2
Jaipur,40,998.5
Jaipur,37,999.7
Jaipur,35.8,998.3
Jaipur,38,995.4
Jaipur,36,997.7
Jaipur,37,999.3
Jaipur,37,999.6
Jaipur,35,1000.4
Jaipur,34,1001.8
Jaipur,37,1002.7
Jaipur,38.3,1002.6
Jaipur,39,1002.3
Jaipur,39,1002.1
Jaipur,38,1001.9
Jaipur,35.2,1003.1
Jaipur,38.1,1004.9
Jaipur,40,1003.8
Jaipur,41,1001.7
Jaipur,40,1000.2
Bhopal,37,1006.2
Bhopal,38.1,1007.2
Bhopal,38,1008.4
Bhopal,38,1010.5
Bhopal,40,1010.5
Bhopal,41,1009.6
Bhopal,40,1010.5
Bhopal,39,1008.5
Bhopal,38,1008.9
Bhopal,36.9,1010.7
Bhopal,38,1012.1
Bhopal,37,1013.8
Bhopal,40,1012.3
Bhopal,38.1,1011.1
Bhopal,37.1,1010.6
Bhopal,38.1,1009.6
Bhopal,38,1011.2
Bhopal,38.1,1011.9
Bhopal,39,1009.4
Bhopal,40,1007.5
Bhopal,37,1010.9
Bhopal,37,1012
Bhopal,39,1010.5
Bhopal,38,1010.4
Bhopal,37.1,1011.1
Bhopal,40,1009.4
Bhopal,38.1,1009.5
Bhopal,40.1,1010
Bhopal,41.9,1008.8
Bhopal,40.8,1007.8
Bhopal,39,1008.2
Bhopal,37.7,1009.9
Bhopal,34,1009.6
Bhopal,39,1008.1
Bhopal,41,1007.8
Bhopal,41,1008
Bhopal,40.8,1009.1
Bhopal,39,1007.9
Bhopal,39,1006.7
Bhopal,38,1006.2
Bhopal,40,1005.7
Bhopal,40.1,1003
Bhopal,40,1004.4
Bhopal,39,1004
Bhopal,40,1004.1
Bhopal,40,1005.5
Bhopal,34,1007.1
Bhopal,35.1,1005.9
Bhopal,34,1002.4
Bhopal,34,1005.8
Bhopal,38.9,1005.6
Bhopal,37.1,1006.5
Bhopal,37.9,1007.7
Bhopal,38.7,1006.7
Bhopal,39,1004.4
Bhopal,39,1001.3
Bhopal,40,1002.1
Bhopal,40.1,1004.1
Bhopal,38.8,1005.8
Bhopal,38,1005.7
Bhopal,39,1003.3
Bhopal,39,1004.8
Bhopal,39,1006.5
Bhopal,36,1007.6
Bhopal,37,1007.7
Bhopal,34.2,1007.6
Bhopal,36,1005.5
Bhopal,37,1006.2
Bhopal,38,1004.5
Bhopal,36,1003.7
Bhopal,38,1000.4
Bhopal,37,1001.6
Bhopal,35.1,1001.9
Bhopal,36,1001.7
Bhopal,34,1000.2
Bhopal,34,998.7
Bhopal,35,1000.4
Bhopal,34,1001.6
Bhopal,34,1001.7
Bhopal,31,1003.7
Bhopal,31,1005.5
Bhopal,33,1005.8
Bhopal,34,1005.4
Bhopal,33,1004.5
Bhopal,33,1004.5
Bhopal,32,1004.3
Bhopal,35,1004.8
Bhopal,33.8,1005.8
Bhopal,34.8,1005.9
Bhopal,35,1004.8
Bhopal,34,1003.9
Lucknow,35.3,1001.2
